Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
San Antonio Spurs,2016/17,0.7440000000000001,91.7,71.3,163.0,4.0,8.0,2.0,519.0,518.0,1037.0,22.0,21.0,28.0
Houston Rockets,2016/17,0.6709999999999999,79.5,80.1,159.6,19.0,1.0,3.0,549.0,542.0,1091.0,7.0,13.0,14.0
Boston Celtics,2016/17,0.6459999999999999,85.5,60.8,146.3,9.0,23.0,16.0,543.0,541.0,1084.0,12.0,14.0,17.0
Los Angeles Clippers,2016/17,0.622,82.60000000000001,73.2,155.8,14.0,5.0,8.0,546.0,535.0,1081.0,10.0,17.0,18.0
Utah Jazz,2016/17,0.622,83.1,63.5,146.6,12.0,17.0,14.0,525.0,534.0,1059.0,21.0,18.0,26.0
Toronto Raptors,2016/17,0.622,92.1,66.7,158.8,3.0,13.0,4.0,542.0,534.0,1076.0,13.0,18.0,21.0
Cleveland Cavaliers,2016/17,0.622,95.4,52.7,148.10000000000002,2.0,30.0,11.0,548.0,556.0,1104.0,8.0,6.0,9.0
Washington Wizards,2016/17,0.598,89.7,56.7,146.4,5.0,24.0,15.0,545.0,556.0,1101.0,11.0,6.0,10.0
Oklahoma City Thunder,2016/17,0.573,77.2,62.7,139.9,23.0,19.0,23.0,534.0,544.0,1078.0,16.0,12.0,20.0
Memphis Grizzlies,2016/17,0.524,82.0,55.9,137.9,15.0,25.0,26.0,534.0,544.0,1078.0,16.0,12.0,20.0
Atlanta Hawks,2016/17,0.524,81.4,54.400000000000006,135.8,16.0,28.0,28.0,528.0,533.0,1061.0,20.0,19.0,25.0
Milwaukee Bucks,2016/17,0.512,81.2,70.10000000000001,151.3,17.0,9.0,9.0,547.0,550.0,1097.0,9.0,8.0,11.0
Indiana Pacers,2016/17,0.512,82.7,65.3,148.0,13.0,15.0,12.0,540.0,552.0,1092.0,14.0,7.0,13.0
Miami Heat,2016/17,0.5,84.4,63.2,147.60000000000002,10.0,18.0,13.0,531.0,542.0,1073.0,18.0,13.0,23.0
Chicago Bulls,2016/17,0.5,86.1,70.1,156.2,8.0,10.0,7.0,530.0,541.0,1071.0,19.0,14.0,24.0
Portland Trail Blazers,2016/17,0.5,80.0,61.5,141.5,18.0,21.0,21.0,558.0,550.0,1108.0,6.0,8.0,8.0
Denver Nuggets,2016/17,0.488,86.6,72.0,158.6,7.0,7.0,5.0,566.0,564.0,1130.0,3.0,1.0,3.0
Detroit Pistons,2016/17,0.451,77.7,65.6,143.3,21.0,14.0,19.0,533.0,542.0,1075.0,17.0,13.0,22.0
Charlotte Hornets,2016/17,0.439,78.1,72.9,151.0,20.0,6.0,10.0,543.0,545.0,1088.0,12.0,11.0,15.0
New Orleans Pelicans,2016/17,0.415,74.9,62.6,137.5,26.0,20.0,27.0,539.0,540.0,1079.0,15.0,15.0,19.0
Dallas Mavericks,2016/17,0.402,68.4,75.30000000000001,143.70000000000002,28.0,4.0,18.0,547.0,538.0,1085.0,9.0,16.0,16.0
Sacramento Kings,2016/17,0.39,77.3,61.2,138.5,22.0,22.0,24.0,560.0,556.0,1116.0,5.0,6.0,6.0
Minnesota Timberwolves,2016/17,0.3779999999999999,88.0,54.4,142.4,6.0,29.0,20.0,562.0,562.0,1124.0,4.0,2.0,4.0
New York Knicks,2016/17,0.3779999999999999,77.19999999999999,79.8,157.0,24.0,2.0,6.0,562.0,547.0,1109.0,4.0,10.0,7.0
Orlando Magic,2016/17,0.354,76.9,55.5,132.4,25.0,26.0,29.0,549.0,560.0,1109.0,7.0,4.0,7.0
Philadelphia 76ers,2016/17,0.341,59.5,68.4,127.9,30.0,11.0,30.0,546.0,549.0,1095.0,10.0,9.0,12.0
Los Angeles Lakers,2016/17,0.317,67.4,77.0,144.4,29.0,3.0,17.0,571.0,561.0,1132.0,2.0,3.0,2.0
Phoenix Suns,2016/17,0.293,73.6,67.6,141.2,27.0,12.0,22.0,562.0,560.0,1122.0,4.0,4.0,5.0
Brooklyn Nets,2016/17,0.244,83.5,54.9,138.4,11.0,27.0,25.0,664.0,559.0,1223.0,1.0,5.0,1.0
